headline,source,date,url,sentiment,sentiment_score
Putin says Russian army fighting 'aggressive' Nato-backed force in Victory Parade address,Dawn,"Sat, 09 May 2026 14:39:03 +0500",https://www.dawn.com/news/1998897/putin-says-russian-army-fighting-aggressive-nato-backed-force-in-victory-parade-address,neutral,0.861
"Pakistan, Bangladesh sign agreement to combat drug trafficking",Dawn,"Sat, 09 May 2026 11:49:39 +0500",https://www.dawn.com/news/1998888/pakistan-bangladesh-sign-agreement-to-combat-drug-trafficking,neutral,0.829
"Drug supplier, extortionist arrested in separate police operations in Karachi",Dawn,"Sat, 09 May 2026 17:00:57 +0500",https://www.dawn.com/news/1998927/drug-supplier-extortionist-arrested-in-separate-police-operations-in-karachi,negative,0.65
"At UN, Pakistan raises alarm at Israel's systematic annexation of occupied West Bank",Dawn,"Sat, 09 May 2026 13:03:05 +0500",https://www.dawn.com/news/1998904/at-un-pakistan-raises-alarm-at-israels-systematic-annexation-of-occupied-west-bank,neutral,0.608
Mideast war taking a toll on Pakistan’s ‘wedding economy’,Dawn,"Sat, 09 May 2026 07:17:46 +0500",https://www.dawn.com/news/1998854/mideast-war-taking-a-toll-on-pakistans-wedding-economy,negative,0.711
"Federal Constitutional Court staff pay, perks surpass Supreme Court's amid supremacy row",Dawn,"Sat, 09 May 2026 07:21:22 +0500",https://www.dawn.com/news/1998858/federal-constitutional-court-staff-pay-perks-surpass-supreme-courts-amid-supremacy-row,neutral,0.728
"Schools reach out to Canvas hackers as breach hits US classrooms, source says",Dawn,"Sat, 09 May 2026 13:07:27 +0500",https://www.dawn.com/news/1998909/schools-reach-out-to-canvas-hackers-as-breach-hits-us-classrooms-source-says,neutral,0.597
Region could witness new political alignment after US-Iran war: Moghadam,Dawn,"Sat, 09 May 2026 09:00:33 +0500",https://www.dawn.com/news/1998778/region-could-witness-new-political-alignment-after-us-iran-war-moghadam,neutral,0.913
A look at the new capabilities Pakistan employed against India during Marka-i-Haq,Dawn,"Sat, 09 May 2026 20:10:14 +0500",https://www.dawn.com/news/1997496/a-look-at-the-new-capabilities-pakistan-employed-against-india-during-marka-i-haq,neutral,0.84
"Afghan Taliban leaders reach out to Fazl, express condolences over cleric’s killing in Charsadda",Dawn,"Sat, 09 May 2026 07:44:52 +0500",https://www.dawn.com/news/1998856/afghan-taliban-leaders-reach-out-to-fazl-express-condolences-over-clerics-killing-in-charsadda,neutral,0.75
Capital Development Authority launches inquiry into ‘illegal sale’ of amenity spaces in Al-Mustafa Tower,Dawn,"Sat, 09 May 2026 08:56:25 +0500",https://www.dawn.com/news/1998781/capital-development-authority-launches-inquiry-into-illegal-sale-of-amenity-spaces-in-al-mustafa-tower,neutral,0.712
"Govt hikes petrol by Rs14.92 per litre, high-speed diesel by Rs15",Dawn,"Sat, 09 May 2026 07:35:43 +0500",https://www.dawn.com/news/1998722/govt-hikes-petrol-by-rs1492-per-litre-high-speed-diesel-by-rs15,neutral,0.79
'No home left' for Gazans stranded in West Bank,Dawn,"Sat, 09 May 2026 15:05:01 +0500",https://www.dawn.com/news/1998920/no-home-left-for-gazans-stranded-in-west-bank,negative,0.639
"Punjab by-polls: Notices served on minister, SAPM for 'violating' election code of conduct",The News,"Fri, 21 Nov 2025 06:33:00 +0500",https://www.thenews.com.pk/latest/1381918-notices-served-on-minister-sapm-for-violating-election-code-of-conduct,negative,0.511
27th Amendment empowers FCC to hear all constitutional cases: minister,The News,"Fri, 21 Nov 2025 00:59:00 +0500",https://www.thenews.com.pk/latest/1381786-27th-amendment-empowers-fcc-to-hear-all-constitutional-cases-minister,neutral,0.851
JF-17 attracts strong attention at Dubai Airshow as friendly country inks procurement MoU,The News,"Thu, 20 Nov 2025 22:25:16 +0500",https://www.thenews.com.pk/latest/1381731-jf-17-attracts-strong-attention-at-dubai-airshow-as-friendly-country-inks-procurement-mou,positive,0.852
US lawmakers laud Punjab govt's initiative to modernise brick-kiln,The News,"Thu, 20 Nov 2025 21:39:48 +0500",https://www.thenews.com.pk/latest/1381705-us-lawmakers-laud-punjab-govts-initiative-to-modernise-brick-kiln,positive,0.566
Security forces gun down 30 terrorists in multiple IBOs in KP: ISPR,The News,"Thu, 20 Nov 2025 21:38:00 +0500",https://www.thenews.com.pk/latest/1381698-security-forces-gun-down-30-terrorists-in-multiple-ibos-in-kp-ispr,neutral,0.556
MQM-P calls for new province in Sindh,The News,"Thu, 20 Nov 2025 20:56:00 +0500",https://www.thenews.com.pk/latest/1381701-mqm-p-calls-for-new-province-in-sindh,neutral,0.91
US report validates Pakistan military edge over India: PM,The News,"Thu, 20 Nov 2025 20:55:00 +0500",https://www.thenews.com.pk/latest/1381699-us-report-validates-pakistan-military-edge-over-india-pm,neutral,0.846
Banned TTP poses serious threat to Pakistan security: UNSC panel,The News,"Thu, 20 Nov 2025 15:24:00 +0500",https://www.thenews.com.pk/latest/1359210-banned-ttp-poses-serious-threat-to-pakistan-security-unsc-panel,negative,0.74
CM Afridi clarifies remarks on by-poll after ECP requests army deployment,The News,"Thu, 20 Nov 2025 15:01:00 +0500",https://www.thenews.com.pk/latest/1359222-ecp-seeks-troops-deployment-in-haripur-by-polls-takes-notices-of-cm-afridis-threats,neutral,0.944
Dubai sees 3.2m Pakistani passengers in 2025 as airport sets new milestone,The News,"Thu, 20 Nov 2025 11:16:00 +0500",https://www.thenews.com.pk/latest/1359184-dubai-sees-32m-pakistani-passengers-in-2025-as-airport-sets-new-milestone,positive,0.749
Security forces kill 23 Indian proxy terrorists in KP's Kurram,The News,"Thu, 20 Nov 2025 10:08:00 +0500",https://www.thenews.com.pk/latest/1359185-security-forces-kill-23-indian-proxy-terrorists-in-kps-kurram,negative,0.806
Pakistan to construct island to boost oil exploration: report,The News,"Wed, 19 Nov 2025 23:26:12 +0500",https://www.thenews.com.pk/latest/1359101-pakistan-to-construct-island-to-boost-oil-exploration-report,neutral,0.816
"Russia ready to mediate Pakistan's issues with India, Afghanistan: envoy",The News,"Wed, 19 Nov 2025 23:14:28 +0500",https://www.thenews.com.pk/latest/1359098-russia-ready-to-mediate-pakistans-issues-with-india-afghanistan-envoy,neutral,0.905
Security forces neutralise four terrorists in KP IBOs,The News,"Wed, 19 Nov 2025 22:12:00 +0500",https://www.thenews.com.pk/latest/1359092-security-forces-neutralise-four-terrorists-in-kp-ibos,neutral,0.838
Reclassification of 41 candidates on reserved seats goes beyond SC mandate: Justice Mandokhail,The News,"Wed, 19 Nov 2025 21:38:12 +0500",https://www.thenews.com.pk/latest/1359090-reclassification-of-41-candidates-on-reserved-seats-goes-beyond-sc-mandate-justice-mandokhail,neutral,0.794
Pakistan Navy confiscates drugs worth $130m in Arabian Sea,The News,"Wed, 19 Nov 2025 18:51:56 +0500",https://www.thenews.com.pk/latest/1359051-pakistan-navy-confiscates-methamphetamine-worth-130m-in-arabian-sea,neutral,0.543
"In meeting with EU Council president, Dar discuss economic ties, GSP+",The News,"Wed, 19 Nov 2025 17:55:25 +0500",https://www.thenews.com.pk/latest/1359033-dar-lands-in-brussels-to-lead-pakistan-eu-strategic-dialogue,neutral,0.884
Pakistan achieved 'military success over India' in May war: US report,The News,"Wed, 19 Nov 2025 17:12:00 +0500",https://www.thenews.com.pk/latest/1359013-pakistan-achieved-military-success-over-india-in-may-war-us-report,neutral,0.607
PM Shehbaz approves five-year plan for flood preparedness,The News,"Wed, 19 Nov 2025 16:27:23 +0500",https://www.thenews.com.pk/latest/1359012-pm-shehbaz-approves-five-year-plan-for-flood-preparedness,neutral,0.727
JITs to probe cases against TLP in Punjab,The News,"Wed, 19 Nov 2025 15:44:00 +0500",https://www.thenews.com.pk/latest/1358987-jits-to-probe-cases-against-tlp-in-punjab,neutral,0.697
"DPM Dar pushes connectivity, financial tools at SCO summit",The News,"Wed, 19 Nov 2025 15:38:00 +0500",https://www.thenews.com.pk/latest/1358973-dpm-dar-pushes-connectivity-financial-tools-at-sco-summit,neutral,0.613
Karachi hotel receives traffic fine for car stolen in 1997,The News,"Wed, 19 Nov 2025 10:13:00 +0500",https://www.thenews.com.pk/latest/1358923-karachi-hotel-receives-traffic-fine-for-car-stolen-in-1997,negative,0.634
"CTD, police kill two suspected militants in Sarai Naurang operation",The News,"Wed, 19 Nov 2025 07:47:13 +0500",https://www.thenews.com.pk/latest/1358918-ctd-police-kill-two-suspected-militants-in-sarai-naurang-operation,negative,0.794
Trump claims credit for averting Pak-India 'war that was almost ready to start again',The News,"Wed, 19 Nov 2025 05:13:20 +0500",https://www.thenews.com.pk/latest/1358877-ive-actually-stopped-eight-wars-reiterates-trump,neutral,0.741
Imran Khan's sisters released after brief detention in Rawalpindi,The News,"Wed, 19 Nov 2025 03:12:47 +0500",https://www.thenews.com.pk/latest/1358865-imran-khans-sisters-released-after-brief-detention-in-rawalpindi,neutral,0.888
Army eliminates 23 Indian-backed terrorists in KP IBOs,The News,"Tue, 18 Nov 2025 22:02:28 +0500",https://www.thenews.com.pk/latest/1358824-army-eliminates-23-indian-backed-terrorists-in-kp-ibos,neutral,0.548
Key constitutional bodies reconstituted under 27th Amendment,The News,"Tue, 18 Nov 2025 18:56:31 +0500",https://www.thenews.com.pk/latest/1358791-key-constitutional-bodies-reconstituted-under-27th-amendment,neutral,0.912
"At SCO moot, Pakistan calls for stronger economic integration",The News,"Tue, 18 Nov 2025 17:25:31 +0500",https://www.thenews.com.pk/latest/1358767-at-sco-meeting-pakistan-calls-for-stronger-economic-integration-broader-partnerships,neutral,0.592
Opposition alliance holds protest rally against 27th Constitutional Amendment,The News,"Tue, 18 Nov 2025 15:33:00 +0500",https://www.thenews.com.pk/latest/1358724-opposition-alliance-holds-protest-rally-against-27th-constitutional-amendment,negative,0.586
Body of 18-year-old bride found on rooftop in Karachi's DHA,The News,"Tue, 18 Nov 2025 14:30:00 +0500",https://www.thenews.com.pk/latest/1358706-body-of-18-year-old-bride-found-on-rooftop-in-karachis-dha,neutral,0.631
Raja Faisal Rathore sworn in as new AJK prime minister,The News,"Tue, 18 Nov 2025 13:11:00 +0500",https://www.thenews.com.pk/latest/1358671-raja-faisal-rathore-sworn-in-as-new-ajk-prime-minister,neutral,0.925
Security forces neutralise 15 Indian proxy terrorists in KP: ISPR,The News,"Tue, 18 Nov 2025 10:20:00 +0500",https://www.thenews.com.pk/latest/1358669-security-forces-neutralise-15-indian-proxy-terrorists-in-kp-ispr,neutral,0.855
ECP moves to prepare schedule for Islamabad local polls,The News,"Tue, 18 Nov 2025 01:06:16 +0500",https://www.thenews.com.pk/latest/1358588-ecp-moves-to-prepare-schedule-for-islamabad-local-polls,neutral,0.935
"28th Amendment on the cards, says Rana Sanaullah",The News,"Mon, 17 Nov 2025 23:06:00 +0500",https://www.thenews.com.pk/latest/1358570-28th-amendment-on-the-cards-says-rana-sanaullah,neutral,0.937
Railways' modernisation to play key role in boosting economy: PM,The News,"Mon, 17 Nov 2025 21:54:01 +0500",https://www.thenews.com.pk/latest/1358560-railways-modernisation-to-play-key-role-in-boosting-economy-pm,positive,0.685
Govt extends Hajj 2026 dues deadline by three days,The News,"Mon, 17 Nov 2025 20:08:00 +0500",https://www.thenews.com.pk/latest/1358540-govt-extends-hajj-2026-dues-deadline-by-three-days,neutral,0.874
Death toll climbs to 10 in Hyderabad firecracker factory blast,The News,"Mon, 17 Nov 2025 19:33:00 +0500",https://www.thenews.com.pk/latest/1358537-death-toll-climbs-to-10-in-hyderabad-firecracker-factory-blast,negative,0.78
"PPP's Palwasha Khan declares FIA, NCCIA 'corrupt'",The News,"Mon, 17 Nov 2025 19:08:00 +0500",https://www.thenews.com.pk/latest/1358535-ppps-palwasha-khan-declares-fia-nccia-corrupt,negative,0.609
By-polls announced for Senate seat left vacant after Irfan Siddiqui's death,The News,"Mon, 17 Nov 2025 18:36:00 +0500",https://www.thenews.com.pk/latest/1358514-by-polls-announced-for-senate-seat-left-vacant-after-irfan-siddiquis-death,neutral,0.823
Pakistan dismisses Khalilzad's claim about Daesh-K presence in Punjab,The News,"Mon, 17 Nov 2025 18:25:00 +0500",https://www.thenews.com.pk/latest/1358520-pakistan-dismisses-khalilzads-claim-about-daesh-k-presence-in-punjab,neutral,0.648
Tarar vows action over fake video targeting journalist Benazir Shah,The News,"Mon, 17 Nov 2025 16:12:00 +0500",https://www.thenews.com.pk/latest/1358473-tarar-vows-action-over-fake-video-targeting-journalist-benazir-shah,neutral,0.516
AJK Assembly removes PM Anwarul Haq as no-confidence motion passes,The News,"Mon, 17 Nov 2025 16:07:00 +0500",https://www.thenews.com.pk/latest/1358488-ajk-assembly-removes-pm-anwarul-haq-as-no-confidence-motion-passes,neutral,0.588
PTI's Gohar joins others in condemning harassment of journalist Shahzeb Khanzada,The News,"Mon, 17 Nov 2025 16:06:00 +0500",https://www.thenews.com.pk/latest/1358468-ptis-gohar-joins-others-in-condemning-harassment-of-journalist-shahzeb-khanzada,negative,0.523
DPM Dar reaches Moscow to participate in SCO summit,The News,"Mon, 17 Nov 2025 14:32:00 +0500",https://www.thenews.com.pk/latest/1358447-dpm-dar-to-attend-sco-summit-in-moscow-from-nov-17-18-fo,neutral,0.84
FCC begins hearing cases after two more judges sworn in,The News,"Mon, 17 Nov 2025 11:48:00 +0500",https://www.thenews.com.pk/latest/1358441-fcc-begins-hearing-cases-after-two-more-judges-sworn-in,neutral,0.935
"Pakistan seeks to boost military collaboration with Jordan, says COAS Munir",The News,"Sun, 16 Nov 2025 21:48:00 +0500",https://www.thenews.com.pk/latest/1358319-pakistan-seeks-to-boost-military-collaboration-with-jordan-says-coas-munir,neutral,0.836
Parliament holds exclusive right to amend Constitution: minister,The News,"Sun, 16 Nov 2025 19:06:07 +0500",https://www.thenews.com.pk/latest/1358303-parliament-holds-exclusive-right-to-amend-constitution-minister,neutral,0.928
President honours Jordan's king with Nishan-e-Pakistan for global peace efforts,The News,"Sun, 16 Nov 2025 17:46:50 +0500",https://www.thenews.com.pk/latest/1358281-president-zardari-honours-jordans-king-with-nishan-e-pakistan-for-global-peace-efforts,neutral,0.507
Karachi braces for water shortfall after Dhabeji power breakdown,The News,"Sun, 16 Nov 2025 17:07:05 +0500",https://www.thenews.com.pk/latest/1358266-karachi-braces-for-water-shortfall-after-dhabeji-power-breakdown,neutral,0.627
Field Marshal Munir warns of Pakistan's 'firm response' to any aggression,The News,"Sun, 16 Nov 2025 16:42:42 +0500",https://www.thenews.com.pk/latest/1358265-coas-munir-warns-of-pakistans-firm-response-to-any-aggression,neutral,0.883
"Anger, confusion as Louisiana Republicans move to erase majority-Black US House district",ARY News,2026-05-10T02:00:53+05:00,https://arynews.tv/tate-powerful-testimony-on-racial-injustice,negative,0.758
Tina Fey surprises Maya Rudolph backstage at Broadway show,ARY News,2026-05-10T01:29:07+05:00,https://arynews.tv/tina-fey-surprises-maya-rudolph-backstage-at-broadway-show,neutral,0.518
"iPhone 18 Pro Max Expected Price, Upgrades Revealed in New Leaks",ARY News,2026-05-10T01:00:43+05:00,https://arynews.tv/iphone-18-pro-max-expected-price-upgrades-revealed-in-new-leaks,neutral,0.672
"Tara Sutaria, Veer Pahariya spark fresh split buzz",ARY News,2026-05-10T00:49:52+05:00,https://arynews.tv/tara-sutaria-veer-pahariya-spark-fresh-split-buzz,neutral,0.771
Putin says he thinks the Ukraine conflict is coming to an end,ARY News,2026-05-10T00:31:16+05:00,https://arynews.tv/putin-says-he-thinks-the-ukraine-conflict-is-coming-to-an-end,neutral,0.757
UK nationals on hantavirus-hit cruise ship to isolate in hospital on return,ARY News,2026-05-10T00:25:59+05:00,https://arynews.tv/hantavirus-impact-on-uk-passengers-and-crew,negative,0.669
PLL Invites International Bids for Two May LNG Spot Cargoes,ARY News,2026-05-10T00:22:16+05:00,https://arynews.tv/pll-invites-international-bids-for-two-may-lng-spot-cargoes,neutral,0.924
Fact Check: Hantavirus infection is not a confirmed side effect of Pfizer’s COVID-19 vaccine,ARY News,2026-05-09T23:59:53+05:00,https://arynews.tv/fact-check-hantavirus-infection-is-not-a-confirmed-side-effect-of-pfizers-covid-19-vaccine,neutral,0.748
Khloe Kardashian gets honest about comparisons with sisters,ARY News,2026-05-09T23:49:54+05:00,https://arynews.tv/khloe-kardashian-gets-honest-about-comparisons-with-sisters,neutral,0.826
Petrol price hike challenged in court,ARY News,2026-05-09T23:43:49+05:00,https://arynews.tv/petrol-price-hike-challenged-in-court,negative,0.565
Prisoner Involved in High-Profile Murder Case Goes Missing from Malir Jail,ARY News,2026-05-09T23:31:35+05:00,https://arynews.tv/murder-convict-polka-escapes-from-malir-jail-after-prison-ceremony,negative,0.585
Factory Worker Crushed to Death by Water Tanker in Karachi’s SITE Area,ARY News,2026-05-09T23:02:21+05:00,https://arynews.tv/factory-worker-crushed-to-death-by-water-tanker-in-karachis-site-area,negative,0.786
Daylight Heist: Animal Traders Looted of Rs 4.5m on Karachi’s Malir Bridge,ARY News,2026-05-09T22:44:43+05:00,https://arynews.tv/daylight-heist-animal-traders-looted-of-rs-4-5m-on-karachis-malir-bridge,negative,0.618
Govt removes burden from parents on commencement of new academic year,ARY News,2026-05-09T22:00:38+05:00,https://arynews.tv/govt-removes-burden-from-parents-on-commencement-of-new-academic-year,neutral,0.804
UK deploys warship to Middle East with eye on potential Hormuz mission,ARY News,2026-05-09T21:41:47+05:00,https://arynews.tv/uk-deploys-warship-to-middle-east-with-eye-on-potential-hormuz-mission,neutral,0.836
Chelsea end six-game losing run with 1-1 draw at Liverpool,ARY News,2026-05-09T21:33:17+05:00,https://arynews.tv/chelsea-end-six-game-losing-run-with-1-1-draw-at-liverpool,neutral,0.84
Arne Slot explains Ngumoha substitution after furious fan reaction,ARY News,2026-05-09T21:24:41+05:00,https://arynews.tv/arne-slot-explains-ngumoha-substitution-after-furious-fan-reaction,neutral,0.814
Ducati’s Marc Marquez to miss French and Catalan GPs due to foot fracture,ARY News,2026-05-09T21:16:08+05:00,https://arynews.tv/ducatis-marc-marquez-to-miss-french-and-catalan-gps-due-to-foot-fracture,neutral,0.768
How to get ID card without birth certificate,ARY News,2026-05-09T21:07:04+05:00,https://arynews.tv/how-to-get-id-without-birth-certificate,neutral,0.848
Uncovering the Shocking True Story Behind Netflix’s Legends,ARY News,2026-05-09T20:57:48+05:00,https://arynews.tv/uncovering-the-shocking-true-story-behind-netflixs-legends,neutral,0.696
Jon B shares never-before-heard story about Michael Jackson,ARY News,2026-05-09T20:39:24+05:00,https://arynews.tv/jon-b-shares-never-before-heard-story-about-michael-jackson,neutral,0.891
Boeing probing worker death as union calls for accountability,ARY News,2026-05-09T20:34:39+05:00,https://arynews.tv/boeing-probing-worker-death-as-union-calls-for-accountability,neutral,0.552
Did Simpsons predict Hantavirus on a ship? Fact-Check,ARY News,2026-05-09T20:32:59+05:00,https://arynews.tv/hantavirus-misinformation-separating-fact-from-fiction,neutral,0.584
Police arrest eight as two killed over Rs1300,ARY News,2026-05-09T20:25:28+05:00,https://arynews.tv/police-arrest-eight-as-two-killed-over-rs1300,negative,0.716
Sanjana Sanghi eager to begin OTT series journey,ARY News,2026-05-09T20:06:16+05:00,https://arynews.tv/sanjana-sanghi-eager-to-begin-ott-series-journey,positive,0.776
Tom Hiddleston Forced to Drop Out of Celebrity Traitors Season 2 at Last Minute,ARY News,2026-05-09T19:51:21+05:00,https://arynews.tv/tom-hiddleston-forced-to-drop-out-of-celebrity-traitors-season-2-at-last-minute,neutral,0.594
Good news for employees before Eid al-Adha,ARY News,2026-05-09T19:46:41+05:00,https://arynews.tv/good-news-for-employees-before-eid-al-adha,positive,0.958
"Kuwaiti Dinar to Pakistani Rupee Rate Today – May 09, 2026",ARY News,2026-05-09T19:42:54+05:00,https://arynews.tv/kuwaiti-dinar-to-pakistani-rupee-rate-today-may-09-2026,neutral,0.956
A divided kingdom: pro-independence parties surge across Britain,ARY News,2026-05-09T19:40:10+05:00,https://arynews.tv/elections-and-their-impact-on-the-uk-union,neutral,0.606
Taylor Swift and Travis Kelce Spark Wedding Fever with Romantic London Date Night,ARY News,2026-05-09T19:38:30+05:00,https://arynews.tv/taylor-swift-and-travis-kelce-spark-wedding-fever-with-romantic-london-date-night,neutral,0.756
Erin Murphy Reveals the Shocking Truth Behind Bewitched’s Abrupt Ending,ARY News,2026-05-09T19:25:31+05:00,https://arynews.tv/erin-murphy-reveals-the-shocking-truth-behind-bewitcheds-abrupt-ending,negative,0.695
"Foundayo: Obesity pill tops 7,000 prescriptions in fourth week",ARY News,2026-05-09T19:25:25+05:00,https://arynews.tv/foundayo-obesity-pill-tops-7000-prescriptions-in-fourth-week,neutral,0.812
Pakistan reviews export promotion schemes for budget 2026-27,ARY News,2026-05-09T19:11:52+05:00,https://arynews.tv/pakistan-reviews-export-promotion-schemes-for-budget-2026-27,neutral,0.889
"Omani Riyal to Pakistani Rupee Rate Today – May 09, 2026",ARY News,2026-05-09T19:09:12+05:00,https://arynews.tv/omani-riyal-to-pakistani-rupee-rate-today-may-09-2026,neutral,0.946
Blake Lively seeks nearly $300M in lawsuit damages,ARY News,2026-05-09T19:02:23+05:00,https://arynews.tv/blake-lively-seeks-nearly-300m-in-lawsuit-damages,neutral,0.724
Magyar sworn in as Hungary’s prime minister,ARY News,2026-05-09T18:58:46+05:00,https://arynews.tv/magyar-sworn-in-as-hungarys-prime-minister,neutral,0.91
Citadel Season 2: A Thrill Ride Returns with Madden and Priyanka Chopra,ARY News,2026-05-09T18:52:44+05:00,https://arynews.tv/citadel-season-2-a-thrill-ride-returns-with-madden-and-priyanka-chopra,neutral,0.536
"Bahraini Dinar to Pakistani Rupee Rate Today – May 9, 2026",ARY News,2026-05-09T18:46:34+05:00,https://arynews.tv/bahraini-dinar-to-pakistani-rupee-rate-today-may-9-2026,neutral,0.952
India new labour code on wages- May 2026 update,ARY News,2026-05-09T18:46:01+05:00,https://arynews.tv/india-new-labour-code-on-wages-may-2026-update,neutral,0.931
Dianna Russini’s Husband Kevin Goldschmidt to Release New Evidence Amid Scandal with Mike Vrabel,ARY News,2026-05-09T18:40:58+05:00,https://arynews.tv/dianna-russinis-husband-kevin-goldschmidt-to-release-new-evidence-amid-scandal-with-mike-vrabel,neutral,0.916
"US economy posts second straight month of strong job gains, but strains remain",ARY News,2026-05-09T18:25:01+05:00,https://arynews.tv/employment-statistics-show-labor-market-strength,positive,0.622
Debutant Awais puts Pakistan in command against Bangladesh,ARY News,2026-05-09T16:57:50+05:00,https://arynews.tv/debutant-awais-puts-pakistan-in-command-against-bangladesh,neutral,0.867
World powers no longer trust India: Rizwan Saeed Sheikh,ARY News,2026-05-09T16:51:15+05:00,https://arynews.tv/world-powers-no-longer-trust-india-rizwan-saeed-sheikh,negative,0.634
Rihanna debuts sweet new doodles tattoo designed by her children,ARY News,2026-05-09T16:45:08+05:00,https://arynews.tv/rihanna-debuts-sweet-new-doodles-tattoo-designed-by-her-children,neutral,0.507
Kuwait issues warning against fake trading platforms,ARY News,2026-05-09T16:44:43+05:00,https://arynews.tv/kuwait-issues-warning-against-fake-trading-platforms,neutral,0.495
Syria says arrested Assad-era general over chemical attack,ARY News,2026-05-09T16:35:04+05:00,https://arynews.tv/syria-says-arrested-assad-era-general-over-chemical-attack,negative,0.688
Public transport fares increased after petrol price hike,ARY News,2026-05-09T16:32:21+05:00,https://arynews.tv/public-transport-fares-increased-after-petrol-price-hike,neutral,0.732
England to host Pakistan for five-match Test series: report,ARY News,2026-05-09T16:29:48+05:00,https://arynews.tv/england-to-host-pakistan-for-five-match-test-series-report,neutral,0.93
PM Shehbaz Sharif to visit China from May 23,ARY News,2026-05-09T16:25:43+05:00,https://arynews.tv/pm-shehbaz-sharif-visit-china-may-23,neutral,0.92
Abbas’ five-for helps Pakistan bowl out Bangladesh,ARY News,2026-05-09T16:25:38+05:00,https://arynews.tv/abbas-five-for-helps-pakistan-bowl-out-bangladesh,neutral,0.757
Lens secure Champions League spot and send Nantes down,ARY News,2026-05-09T16:17:03+05:00,https://arynews.tv/lens-secure-champions-league-spot-and-send-nantes-down,neutral,0.77
"Silver Rate in Pakistan Today – May 09, 2026",ARY News,2026-05-09T16:07:49+05:00,https://arynews.tv/silver-rate-in-pakistan-today-may-09-2026,neutral,0.929
‘How will people survive?’ Saad Rafique slams petrol price hike,ARY News,2026-05-09T16:04:24+05:00,https://arynews.tv/how-will-people-survive-saad-rafique-slams-petrol-price-hike,negative,0.563
"Iranian Rial Rate Today in Pakistan – May 9, 2026",ARY News,2026-05-09T16:02:16+05:00,https://arynews.tv/iranian-rial-rate-today-in-pakistan-may-9-2026,neutral,0.949
Mexico to cut school year short ahead of World Cup,ARY News,2026-05-09T15:50:55+05:00,https://arynews.tv/mexico-to-cut-school-year-short-ahead-of-world-cup,neutral,0.74
Ailing Djokovic falls to early Italian Open exit ahead of Roland Garros,ARY News,2026-05-09T15:40:02+05:00,https://arynews.tv/ailing-djokovic-falls-to-early-italian-open-exit-ahead-of-roland-garros,neutral,0.872
